Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Delivery_distance,Time_to_pick,Month,Time_of_Day_Ordered
32.0,4.6,Cloudy,Low,2,Drinks,scooter,1.0,0,PUNE,30,19.91,10.2,Apr,Night
33.0,4.9,Sunny,Medium,1,Snack,motorcycle,1.0,0,PUNE,22,10.72,15.0,Mar,Night
20.0,4.7,Windy,High,1,Snack,scooter,0.0,0,PUNE,10,6.13,10.2,Apr,Evening
35.0,5.0,Sunny,Low,2,Snack,scooter,1.0,0,HYD,11,3.07,10.2,Apr,Morning
26.0,4.9,Stormy,Low,2,Buffet,scooter,0.0,0,BANG,11,3.11,15.0,Mar,Morning
35.0,4.3,Cloudy,Medium,1,Snack,motorcycle,1.0,0,CHEN,33,10.87,4.8,Mar,Evening
37.0,4.7,Sandstorms,Jam,0,Snack,motorcycle,3.0,0,SUR,52,13.68,4.8,Apr,Night
28.0,4.6,Stormy,Jam,1,Snack,scooter,1.0,0,MUM,22,16.83,15.0,Mar,Night
23.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,0.0,0,MUM,11,9.18,4.8,Mar,Night
37.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,0,CHEN,26,6.21,10.2,Mar,Evening
33.0,5.0,Sunny,High,2,Snack,scooter,1.0,0,SUR,18,1.52,10.2,Mar,Morning
31.0,4.9,Fog,Medium,1,Snack,motorcycle,1.0,0,RANCHI,16,6.04,4.8,Apr,Evening
31.0,4.8,Stormy,Low,2,Drinks,scooter,1.0,0,BANG,23,17.08,10.2,Mar,Night
25.0,5.0,Cloudy,Low,0,Snack,motorcycle,0.0,0,AURG,15,4.72,15.0,Feb,Night
28.0,4.8,Sandstorms,Jam,0,Drinks,motorcycle,1.0,0,COIMB,36,12.46,10.2,Apr,Night
31.0,4.7,Cloudy,Low,2,Snack,motorcycle,0.0,0,SUR,16,9.12,15.0,Mar,Night
39.0,4.2,Fog,Jam,2,Snack,scooter,1.0,0,VAD,49,12.58,15.0,Mar,Night
36.0,4.7,Cloudy,Jam,1,Snack,motorcycle,1.0,0,VAD,30,9.44,4.8,Mar,Night
25.0,4.8,Sandstorms,Low,1,Drinks,scooter,0.0,0,JAP,18,11.92,9.6,Mar,Night
30.0,4.4,Cloudy,Low,2,Drinks,scooter,1.0,0,SUR,34,10.64,15.0,Mar,Night
33.0,5.0,Sandstorms,Low,0,Buffet,motorcycle,0.0,0,MUM,24,16.82,5.4,Mar,Night
36.0,4.9,Fog,Medium,2,Drinks,scooter,1.0,0,PUNE,17,6.13,15.0,Mar,Evening
21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,0,ALH,14,3.0,10.2,Feb,Morning
23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,0,VAD,15,3.15,9.6,Mar,Morning
35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,0,VAD,16,6.29,9.6,Mar,Evening
39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,0,CHEN,36,13.97,4.8,Mar,Night
22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,0,SUR,18,6.08,4.8,Mar,Evening
32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,0,SUR,17,6.08,15.0,Mar,Evening
24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,0,VAD,15,12.58,4.8,Mar,Night
29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,0,MYS,17,3.15,10.2,Mar,Morning
26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,0,HYD,10,9.22,15.0,Mar,Night
20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,0,BHP,27,7.86,15.0,Feb,Night
35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,0,CHEN,37,13.97,15.0,Mar,Night
34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,0,VAD,28,6.06,10.2,Mar,Evening
30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,0,DEH,25,17.3,15.0,Feb,Night
25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,0,CHEN,39,17.07,4.8,Mar,Night
25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,0,MUM,20,16.82,5.4,Mar,Night
30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,0,JAP,31,2.98,4.8,Mar,Morning
24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,0,HYD,13,9.22,10.2,Mar,Night
25.0,4.8,Windy,High,1,Snack,scooter,1.0,0,GOA,19,6.18,4.8,Feb,Evening
37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,1,AURG,42,12.21,15.0,Feb,Night
24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,0,BANG,23,1.55,5.4,Mar,Morning
25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,0,HYD,39,16.9,15.0,Mar,Night
32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,0,RANCHI,25,1.51,9.6,Apr,Morning
38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,0,INDO,15,3.03,15.0,Mar,Morning
36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,0,JAP,15,13.41,5.4,Mar,Evening
29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,0,MYS,18,7.77,5.4,Apr,Night
36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,0,MUM,29,13.77,9.6,Apr,Night
33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,0,COIMB,20,7.79,4.8,Mar,Night
36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,0,MYS,39,6.22,15.0,Mar,Evening
21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,0,PUNE,19,16.85,15.0,Mar,Night
25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,0,HYD,19,4.61,15.0,Mar,Night
25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,0,COIMB,15,1.56,15.0,Mar,Morning
27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,0,BANG,29,13.97,15.0,Mar,Night
23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,0,MUM,22,16.83,5.4,Mar,Night
21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,0,MYS,42,20.21,9.6,Mar,Night
27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,0,SUR,12,3.04,15.0,Mar,Morning
32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,0,COIMB,38,20.25,10.2,Mar,Night
25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,0,SUR,23,16.72,15.0,Mar,Night
39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,0,KNP,15,2.98,15.0,Feb,Morning
27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,0,SUR,24,12.16,4.8,Mar,Night
31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,0,BANG,24,7.76,10.2,Mar,Night
31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,0,RANCHI,13,9.06,4.8,Mar,Night
36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,0,RANCHI,42,12.07,9.6,Mar,Night
20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,0,RANCHI,17,13.58,9.6,Mar,Night
24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,0,JAP,25,4.47,15.0,Apr,Night
39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,0,INDO,39,16.63,4.8,Mar,Night
37.0,4.8,Sunny,High,2,Meal,scooter,0.0,0,COIMB,18,6.23,9.6,Mar,Evening
22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,0,KNP,18,7.46,15.0,Feb,Night
33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,0,RANCHI,49,16.6,9.6,Mar,Night
27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,0,BANG,21,12.42,4.8,Mar,Night
34.0,4.7,Sunny,High,2,Snack,scooter,0.0,0,MUM,23,6.12,15.0,Mar,Evening
26.0,5.0,Fog,Low,2,Meal,scooter,1.0,0,SUR,11,1.52,10.2,Apr,Morning
31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,0,VAD,25,9.09,15.0,Mar,Night
32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,0,PUNE,18,3.06,5.4,Mar,Morning
24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,0,VAD,17,6.29,15.0,Mar,Evening
33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,0,HYD,28,1.54,10.2,Mar,Morning
20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,1,BANG,44,13.97,15.0,Mar,Night
31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,0,COIMB,20,9.35,15.0,Mar,Night
36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,0,VAD,35,10.6,9.6,Mar,Night
31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,0,CHEN,50,17.08,10.2,Mar,Night
39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,0,HYD,34,9.22,4.8,Mar,Night
37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,0,COIMB,27,4.67,9.6,Mar,Night
33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,0,VAD,26,6.29,10.2,Mar,Evening
31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,0,MUM,35,10.71,9.6,Mar,Night
37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,0,VAD,41,6.29,5.4,Mar,Evening
23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,0,RANCHI,19,3.15,9.6,Apr,Morning
36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,0,VAD,27,1.57,15.0,Mar,Morning
39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,0,MYS,28,6.22,15.0,Apr,Evening
20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,0,COIMB,24,12.46,9.6,Mar,Evening
20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,0,MYS,36,20.21,15.0,Mar,Night
29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,0,KOL,28,9.08,5.4,Feb,Night
36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,0,COIMB,31,17.14,4.8,Mar,Night
36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,0,VAD,44,13.63,4.8,Mar,Night
22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,0,RANCHI,15,12.07,15.0,Mar,Night
38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,0,PUNE,33,10.72,5.4,Mar,Evening
39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,0,SUR,30,7.6,15.0,Mar,Night
24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,0,INDO,22,7.56,10.2,Mar,Night
35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,0,HYD,48,13.83,9.6,Mar,Evening
39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,0,KOC,21,10.92,4.8,Feb,Night
31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,0,VAD,44,12.12,10.2,Mar,Night
37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,0,CHEN,26,1.55,15.0,Mar,Morning
37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,0,MYS,26,4.66,5.4,Apr,Night
33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,0,MUM,31,1.53,4.8,Mar,Morning
24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,0,RANCHI,19,9.44,15.0,Mar,Night
33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,0,JAP,18,11.92,4.8,Mar,Night
37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,0,RANCHI,32,13.58,10.2,Mar,Night
25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,0,HYD,17,7.68,4.8,Mar,Night
38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,0,MYS,31,6.22,9.6,Mar,Evening
31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,0,MYS,25,9.33,9.6,Mar,Evening
25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,0,MUM,22,9.18,15.0,Mar,Night
35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,0,MYS,43,10.88,4.8,Mar,Night
39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,1,RANCHI,42,10.57,10.2,Mar,Night
38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,0,INDO,42,12.1,9.6,Mar,Night
35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,0,CHEN,34,4.66,10.2,Mar,Night
29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,0,JAP,17,2.98,15.0,Mar,Morning
27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,0,SUR,25,4.56,5.4,Mar,Night
38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,1,MYS,54,13.99,10.2,Apr,Night
26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,0,KNP,36,13.43,4.8,Feb,Night
36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,0,MYS,17,9.33,10.2,Apr,Evening
20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,0,MYS,26,6.22,5.4,Mar,Evening
23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,1,PUNE,46,13.79,15.0,Mar,Night
37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,0,KOL,29,9.08,9.6,Feb,Night
26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,0,BANG,23,9.32,5.4,Mar,Night
26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,0,INDO,28,16.64,15.0,Mar,Evening
29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,0,PUNE,25,9.19,5.4,Mar,Night
29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,0,RANCHI,11,3.02,15.0,Mar,Morning
21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,0,LUDH,26,4.4,9.6,Feb,Night
22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,0,MYS,23,3.11,15.0,Mar,Morning
31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,0,JAP,39,11.92,15.0,Mar,Evening
36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,0,BANG,43,10.87,15.0,Mar,Evening
32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,0,MYS,25,1.55,9.6,Mar,Morning
25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,0,CHEN,27,9.31,5.4,Mar,Night
27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,0,HYD,29,6.15,15.0,Mar,Evening
32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,0,BANG,33,10.87,15.0,Mar,Night
39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,0,BANG,33,20.18,4.8,Mar,Night
20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,0,VAD,28,9.44,4.8,Mar,Night
29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,0,ALH,29,4.49,15.0,Feb,Night
31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,0,GOA,28,6.18,15.0,Feb,Evening
24.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,0,RANCHI,39,20.44,5.4,Mar,Night
36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,0,JAP,36,19.37,4.8,Mar,Night
26.0,4.7,Cloudy,Jam,0,Meal,motorcycle,1.0,0,JAP,43,20.85,5.4,Mar,Night
33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,0,BANG,15,7.76,15.0,Mar,Night
34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,0,MUM,39,13.77,4.8,Mar,Night
36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,0,HYD,20,12.29,9.6,Apr,Night
27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,0,BANG,20,12.42,15.0,Mar,Night
26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,0,BANG,43,12.42,10.2,Mar,Night
29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,0,INDO,15,19.66,9.6,Mar,Night
31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,0,COIMB,29,12.46,15.0,Apr,Night
28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,0,HYD,14,6.15,15.0,Mar,Evening
30.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,0,RANCHI,29,12.58,10.2,Mar,Night
29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,1.0,0,ALH,11,5.99,4.8,Feb,Evening
20.0,4.8,Sunny,High,1,Snack,motorcycle,0.0,0,MUM,14,1.53,10.2,Mar,Morning
28.0,5.0,Windy,Low,0,Snack,motorcycle,0.0,0,AURG,15,13.74,10.2,Feb,Night
25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,0,MUM,16,10.71,10.2,Mar,Night
38.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,0,CHEN,20,3.1,4.8,Mar,Morning
39.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,0,HYD,26,4.61,10.2,Mar,Night
26.0,4.9,Windy,Medium,1,Snack,scooter,0.0,0,SUR,26,9.12,4.8,Mar,Evening
33.0,4.4,Windy,Jam,1,Meal,motorcycle,0.0,0,COIMB,43,10.91,15.0,Mar,Night
24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,0,VAD,25,9.09,9.6,Mar,Night
24.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,0,COIMB,28,6.23,9.6,Mar,Evening
33.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,0,INDO,17,13.61,15.0,Mar,Night
35.0,4.2,Windy,Jam,1,Drinks,motorcycle,1.0,0,INDO,44,13.61,10.2,Mar,Night
27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,0,MUM,33,13.76,4.8,Apr,Night
29.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,0,BANG,15,4.66,4.8,Apr,Night
34.0,4.7,Fog,Low,1,Buffet,scooter,1.0,0,AGR,27,19.34,9.6,Feb,Night
20.0,4.7,Cloudy,High,2,Meal,scooter,1.0,0,KNP,25,2.98,15.0,Feb,Morning
29.0,4.8,Sunny,High,1,Drinks,motorcycle,1.0,0,VAD,18,6.06,5.4,Apr,Evening
22.0,4.9,Stormy,Medium,2,Snack,scooter,0.0,0,VAD,21,9.09,4.8,Apr,Night
35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,0,AGR,53,10.42,15.0,Feb,Night
32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,3.0,0,KOC,42,17.16,10.2,Feb,Night
28.0,4.9,Sunny,Jam,2,Snack,motorcycle,1.0,0,LUDH,20,16.11,15.0,Feb,Night
30.0,4.7,Fog,Low,1,Meal,scooter,0.0,0,COIMB,29,20.25,10.2,Mar,Night
22.0,4.7,Stormy,Jam,2,Snack,scooter,0.0,0,CHEN,15,17.08,9.6,Apr,Night
36.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,0,COIMB,30,7.79,15.0,Mar,Night
23.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,0,SUR,28,19.76,4.8,Mar,Night
29.0,4.5,Sandstorms,Low,2,Meal,motorcycle,1.0,0,AURG,15,19.84,10.2,Feb,Night
34.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,3.0,1,CHEN,50,17.08,15.0,Mar,Night
38.0,4.1,Stormy,High,0,Buffet,motorcycle,1.0,1,BANG,41,1.55,5.4,Mar,Morning
35.0,5.0,Fog,Medium,0,Snack,motorcycle,1.0,0,VAD,37,11.01,9.6,Mar,Evening
38.0,4.7,Cloudy,Jam,2,Drinks,scooter,1.0,0,VAD,28,9.44,15.0,Mar,Night
32.0,4.3,Cloudy,Medium,1,Meal,scooter,2.0,0,DEH,35,10.28,15.0,Feb,Night
20.0,4.5,Windy,Jam,2,Buffet,motorcycle,1.0,0,BANG,27,10.87,9.6,Mar,Night
25.0,4.9,Fog,Jam,0,Buffet,motorcycle,2.0,0,CHEN,43,12.42,4.8,Mar,Night
39.0,4.1,Cloudy,Jam,1,Drinks,motorcycle,2.0,0,DEH,39,20.44,5.4,Feb,Night
31.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,0,VAD,47,16.66,4.8,Mar,Night
37.0,4.5,Fog,Low,0,Buffet,motorcycle,1.0,0,SUR,26,7.6,4.8,Mar,Night
36.0,4.9,Cloudy,Medium,2,Snack,electric_scooter,1.0,0,LUDH,31,13.18,15.0,Feb,Evening
37.0,3.8,Sandstorms,Jam,1,Snack,motorcycle,1.0,0,JAP,42,20.86,10.2,Apr,Night
35.0,4.9,Fog,Medium,2,Meal,electric_scooter,0.0,0,JAP,18,4.47,5.4,Mar,Night
22.0,4.8,Sandstorms,Jam,1,Snack,scooter,1.0,0,JAP,22,13.41,15.0,Mar,Night
28.0,4.8,Fog,Low,0,Buffet,motorcycle,1.0,0,HYD,23,3.07,15.0,Mar,Morning
39.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,0,MYS,48,20.21,10.2,Mar,Evening
29.0,4.5,Windy,Low,1,Snack,scooter,0.0,0,BANG,13,12.42,15.0,Mar,Night
39.0,4.6,Sandstorms,High,2,Drinks,motorcycle,1.0,0,CHEN,32,3.1,10.2,Mar,Morning
25.0,4.9,Sandstorms,Jam,2,Snack,electric_scooter,0.0,0,MYS,16,20.21,4.8,Mar,Night
34.0,5.0,Cloudy,Medium,2,Snack,electric_scooter,0.0,0,COIMB,19,4.67,4.8,Mar,Evening
22.0,4.8,Sunny,Low,1,Drinks,motorcycle,1.0,0,BANG,18,3.11,4.8,Mar,Morning
27.0,5.0,Windy,Jam,0,Buffet,motorcycle,1.0,0,KNP,27,10.44,9.6,Feb,Night
28.0,4.5,Sunny,Medium,0,Drinks,motorcycle,1.0,0,MUM,25,10.71,9.6,Mar,Evening
32.0,5.0,Stormy,Medium,2,Drinks,scooter,1.0,0,COIMB,31,4.67,15.0,Mar,Night
35.0,3.9,Windy,Jam,1,Snack,motorcycle,2.0,0,MUM,38,12.24,15.0,Mar,Night
35.0,4.7,Sunny,Jam,2,Drinks,electric_scooter,1.0,0,AURG,17,4.72,10.2,Feb,Night
30.0,4.6,Cloudy,Low,0,Buffet,motorcycle,0.0,0,VAD,24,1.51,15.0,Mar,Morning
39.0,4.8,Fog,High,2,Drinks,scooter,1.0,0,MYS,26,3.11,5.4,Mar,Morning
20.0,4.7,Sandstorms,Medium,2,Snack,scooter,1.0,0,PUNE,16,12.26,4.8,Mar,Evening
20.0,4.7,Fog,Medium,2,Buffet,motorcycle,0.0,0,VAD,17,4.72,9.6,Mar,Night
34.0,4.2,Windy,Low,0,Snack,motorcycle,0.0,0,MYS,24,9.33,4.8,Mar,Night
37.0,4.3,Stormy,High,2,Meal,scooter,1.0,0,JAP,34,2.98,9.6,Mar,Morning
20.0,4.8,Cloudy,Low,1,Snack,motorcycle,1.0,0,MUM,16,1.53,15.0,Mar,Morning
33.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,0,SUR,26,7.6,9.6,Apr,Night
21.0,5.0,Fog,Medium,1,Drinks,motorcycle,1.0,0,INDO,25,19.66,4.8,Apr,Evening
33.0,4.6,Fog,Medium,0,Meal,motorcycle,2.0,0,VAD,49,10.6,15.0,Mar,Evening
24.0,4.6,Windy,Medium,2,Snack,electric_scooter,0.0,0,BANG,24,12.42,10.2,Mar,Night
32.0,4.9,Sandstorms,Low,1,Buffet,scooter,1.0,0,HYD,24,13.83,15.0,Mar,Night
28.0,4.6,Stormy,Jam,2,Drinks,electric_scooter,0.0,0,HYD,16,19.98,4.8,Mar,Night
21.0,4.7,Windy,Jam,2,Drinks,scooter,1.0,0,JAP,27,19.37,10.2,Apr,Night
39.0,4.9,Fog,High,0,Drinks,motorcycle,1.0,0,AURG,25,3.05,4.8,Feb,Morning
20.0,4.5,Sandstorms,Jam,1,Buffet,scooter,1.0,0,MUM,25,9.18,4.8,Mar,Night
36.0,5.0,Fog,Low,2,Meal,scooter,1.0,0,JAP,15,1.49,5.4,Mar,Morning
