Delivery_person_Age,Delivery_person_Ratings,Delivery_distance,Time_to_pick,Festival,Weather_conditions,Road_traffic_density,Type_of_order,Type_of_vehicle,City,Time_of_Day_Ordered,Month,multiple_deliveries,Vehicle_condition,Time_taken (min)
26.0,4.8,12.58,15.0,No,Sandstorms,Medium,Buffet,scooter,Metropolitian,Night,Mar,0.0,1,16
33.0,4.6,10.43,10.2,Yes,Fog,Jam,Snack,motorcycle,Metropolitian,Night,Apr,2.0,0,53
36.0,4.7,16.9,9.6,No,Fog,Low,Meal,electric_scooter,Metropolitian,Night,Mar,0.0,2,27
20.0,4.8,16.63,9.6,No,Sandstorms,Jam,Buffet,motorcycle,Metropolitian,Night,Mar,1.0,2,18
29.0,4.8,11.92,10.2,No,Cloudy,Jam,Buffet,scooter,Metropolitian,Night,Apr,1.0,1,41
26.0,4.4,4.72,4.8,No,Cloudy,Jam,Meal,scooter,Urban,Night,Mar,1.0,2,33
24.0,4.5,6.22,10.2,Yes,Sunny,High,Drinks,motorcycle,Metropolitian,Evening,Mar,2.0,0,44
39.0,4.5,2.98,15.0,No,Stormy,Low,Meal,electric_scooter,Urban,Morning,Mar,1.0,2,28
25.0,4.8,13.76,10.2,No,Stormy,Low,Meal,motorcycle,Metropolitian,Night,Mar,1.0,0,18
22.0,4.9,9.22,15.0,No,Sandstorms,Medium,Drinks,electric_scooter,Urban,Night,Mar,1.0,2,22
32.0,3.5,17.08,9.6,No,Sandstorms,Jam,Snack,motorcycle,Urban,Night,Mar,1.0,1,32
20.0,4.7,9.08,4.8,No,Fog,Jam,Meal,scooter,Metropolitian,Night,Feb,1.0,1,23
27.0,4.7,9.19,10.2,No,Cloudy,Medium,Meal,motorcycle,Metropolitian,Evening,Mar,1.0,0,27
31.0,4.4,4.54,9.6,No,Cloudy,Jam,Meal,motorcycle,Metropolitian,Night,Mar,1.0,1,33
29.0,4.8,12.12,15.0,No,Windy,Medium,Snack,electric_scooter,Metropolitian,Evening,Mar,1.0,2,25
36.0,4.0,11.92,4.8,No,Stormy,Jam,Drinks,motorcycle,Metropolitian,Night,Mar,1.0,0,45
27.0,4.6,19.69,5.4,No,Stormy,Low,Meal,scooter,Urban,Night,Mar,0.0,2,17
21.0,5.0,20.18,15.0,No,Windy,Jam,Snack,motorcycle,Metropolitian,Night,Apr,2.0,0,33
32.0,4.9,9.32,5.4,No,Cloudy,Jam,Meal,motorcycle,Metropolitian,Night,Apr,1.0,0,25
29.0,5.0,4.66,10.2,No,Sunny,Jam,Drinks,motorcycle,Metropolitian,Night,Mar,0.0,1,11
25.0,4.6,1.55,10.2,No,Cloudy,Low,Snack,motorcycle,Metropolitian,Morning,Apr,1.0,0,24
32.0,4.5,20.21,10.2,No,Sandstorms,Low,Meal,motorcycle,Metropolitian,Night,Mar,1.0,0,29
20.0,4.9,7.76,4.8,No,Windy,Low,Snack,scooter,Metropolitian,Night,Mar,1.0,1,12
31.0,4.5,16.64,4.8,No,Fog,Jam,Drinks,motorcycle,Metropolitian,Night,Mar,2.0,0,44
37.0,4.8,4.66,4.8,No,Windy,Jam,Meal,motorcycle,Metropolitian,Night,Mar,1.0,0,30
35.0,4.4,12.07,4.8,No,Windy,Jam,Snack,motorcycle,Metropolitian,Night,Mar,1.0,1,31
29.0,4.3,19.36,15.0,No,Windy,Jam,Meal,motorcycle,Metropolitian,Night,Mar,0.0,0,35
22.0,5.0,19.98,9.6,No,Cloudy,Low,Drinks,motorcycle,Metropolitian,Night,Mar,1.0,1,26
22.0,4.7,4.49,10.2,No,Windy,Jam,Meal,scooter,Metropolitian,Night,Feb,0.0,1,18
39.0,5.0,16.72,5.4,No,Cloudy,Medium,Snack,electric_scooter,Metropolitian,Night,Mar,1.0,2,41
25.0,4.9,1.52,10.2,No,Cloudy,High,Drinks,motorcycle,Urban,Morning,Mar,0.0,1,30
28.0,4.9,17.07,9.6,No,Windy,Jam,Buffet,electric_scooter,Urban,Night,Mar,1.0,2,15
37.0,4.8,6.12,15.0,No,Sunny,Medium,Drinks,scooter,Metropolitian,Evening,Mar,0.0,2,16
34.0,5.0,7.57,10.2,No,Sunny,Jam,Buffet,electric_scooter,Metropolitian,Night,Feb,1.0,2,23
29.0,4.6,12.21,15.0,No,Cloudy,Low,Drinks,motorcycle,Metropolitian,Night,Feb,1.0,1,26
23.0,4.8,1.49,5.4,No,Sunny,Low,Snack,scooter,Metropolitian,Morning,Apr,1.0,2,23
29.0,4.7,1.51,9.6,No,Cloudy,Low,Drinks,scooter,Metropolitian,Morning,Mar,0.0,2,14
24.0,4.9,9.06,4.8,No,Cloudy,Medium,Drinks,motorcycle,Urban,Night,Apr,0.0,0,25
22.0,4.9,12.44,15.0,No,Fog,Jam,Meal,scooter,Metropolitian,Night,Apr,1.0,2,40
24.0,4.6,11.92,9.6,No,Cloudy,Low,Snack,motorcycle,Metropolitian,Night,Apr,1.0,1,28
38.0,5.0,8.94,15.0,No,Fog,Jam,Meal,motorcycle,Metropolitian,Night,Apr,1.0,1,27
36.0,3.9,19.97,10.2,No,Sandstorms,Jam,Buffet,motorcycle,Urban,Night,Mar,1.0,2,31
23.0,4.7,17.14,5.4,No,Stormy,Low,Meal,motorcycle,Metropolitian,Night,Mar,1.0,1,15
38.0,4.6,9.12,4.8,No,Sunny,Low,Drinks,motorcycle,Metropolitian,Night,Mar,1.0,0,28
24.0,4.5,5.99,9.6,No,Windy,Medium,Drinks,motorcycle,Metropolitian,Evening,Feb,1.0,0,23
38.0,4.5,3.07,9.6,No,Fog,Low,Drinks,motorcycle,Urban,Morning,Apr,1.0,0,27
29.0,4.5,13.79,9.6,No,Cloudy,Medium,Drinks,motorcycle,Urban,Night,Apr,1.0,0,33
32.0,4.7,4.56,15.0,No,Windy,Low,Meal,motorcycle,Metropolitian,Night,Mar,1.0,1,27
27.0,4.9,20.18,9.6,No,Sandstorms,Jam,Snack,motorcycle,Urban,Night,Mar,1.0,0,28
28.0,5.0,3.04,15.0,No,Windy,High,Drinks,motorcycle,Metropolitian,Morning,Mar,0.0,2,10
31.0,4.6,13.41,10.2,No,Sandstorms,Low,Drinks,motorcycle,Urban,Night,Apr,1.0,2,17
35.0,4.8,7.6,15.0,No,Cloudy,Jam,Snack,motorcycle,Metropolitian,Night,Apr,2.0,2,36
25.0,4.6,9.44,15.0,No,Cloudy,Jam,Snack,motorcycle,Metropolitian,Night,Feb,1.0,2,27
26.0,4.7,1.55,10.2,No,Sandstorms,High,Drinks,motorcycle,Metropolitian,Morning,Mar,1.0,1,22
25.0,4.8,10.7,15.0,No,Fog,Low,Buffet,motorcycle,Metropolitian,Night,Mar,1.0,1,21
31.0,4.8,17.3,15.0,Yes,Cloudy,Jam,Meal,motorcycle,Metropolitian,Night,Mar,1.0,0,44
21.0,4.3,13.79,15.0,No,Sandstorms,Jam,Buffet,motorcycle,Metropolitian,Night,Mar,1.0,0,32
35.0,4.9,8.81,10.2,No,Sunny,Low,Meal,motorcycle,Urban,Night,Feb,0.0,2,10
36.0,5.0,9.44,9.6,No,Windy,Medium,Snack,motorcycle,Metropolitian,Evening,Mar,1.0,0,26
32.0,4.1,9.18,5.4,No,Stormy,Jam,Buffet,motorcycle,Metropolitian,Night,Mar,1.0,0,31
38.0,4.8,1.51,15.0,No,Sunny,Low,Meal,motorcycle,Metropolitian,Morning,Feb,1.0,0,20
34.0,4.6,1.53,15.0,No,Fog,Low,Buffet,motorcycle,Metropolitian,Morning,Apr,0.0,0,24
34.0,4.2,16.48,15.0,No,Sandstorms,Jam,Buffet,motorcycle,Metropolitian,Night,Feb,1.0,1,32
22.0,3.2,11.98,9.6,Yes,Sunny,Low,Buffet,scooter,Metropolitian,Night,Feb,1.0,1,41
29.0,4.8,11.01,10.2,No,Cloudy,Low,Snack,motorcycle,Metropolitian,Night,Mar,0.0,1,29
39.0,4.3,12.12,4.8,No,Stormy,Medium,Buffet,scooter,Metropolitian,Night,Mar,2.0,1,34
20.0,4.3,1.56,5.4,No,Stormy,Low,Drinks,motorcycle,Metropolitian,Morning,Mar,1.0,0,24
22.0,5.0,8.94,9.6,No,Sunny,Low,Snack,motorcycle,Metropolitian,Night,Mar,1.0,1,19
27.0,4.7,4.67,15.0,No,Windy,Jam,Drinks,scooter,Metropolitian,Night,Mar,1.0,2,18
27.0,4.9,13.99,10.2,No,Sandstorms,Medium,Buffet,scooter,Metropolitian,Evening,Mar,1.0,1,28
39.0,4.8,9.12,10.2,No,Sunny,Medium,Buffet,electric_scooter,Metropolitian,Night,Mar,1.0,2,24
22.0,4.8,16.82,9.6,No,Sunny,Jam,Drinks,electric_scooter,Metropolitian,Night,Mar,0.0,2,13
38.0,4.6,10.88,10.2,No,Windy,Low,Buffet,motorcycle,Metropolitian,Night,Mar,1.0,1,20
27.0,5.0,10.59,9.6,No,Cloudy,Low,Meal,motorcycle,Metropolitian,Night,Feb,1.0,0,22
25.0,4.6,7.66,15.0,No,Fog,Medium,Drinks,motorcycle,Metropolitian,Evening,Mar,1.0,0,29
25.0,4.9,1.53,15.0,No,Sunny,Low,Meal,scooter,Urban,Morning,Apr,1.0,1,20
22.0,4.5,6.05,10.2,No,Windy,Medium,Snack,motorcycle,Urban,Evening,Feb,1.0,0,16
37.0,3.6,10.26,4.8,No,Stormy,Jam,Snack,scooter,Metropolitian,Night,Feb,1.0,2,31
33.0,3.7,13.68,4.8,No,Stormy,Medium,Drinks,scooter,Metropolitian,Evening,Mar,2.0,2,37
35.0,4.7,3.15,4.8,No,Cloudy,High,Meal,motorcycle,Urban,Morning,Mar,1.0,2,38
37.0,4.9,1.53,5.4,No,Fog,High,Meal,motorcycle,Metropolitian,Morning,Mar,1.0,0,26
23.0,4.7,12.24,15.0,No,Stormy,Low,Drinks,scooter,Urban,Night,Mar,0.0,1,15
35.0,4.9,20.18,4.8,No,Fog,Jam,Drinks,motorcycle,Urban,Night,Mar,1.0,0,42
33.0,4.7,13.68,9.6,No,Sandstorms,Medium,Snack,scooter,Metropolitian,Night,Mar,0.0,2,24
32.0,4.4,16.61,15.0,No,Stormy,Jam,Meal,motorcycle,Metropolitian,Night,Feb,1.0,2,43
33.0,4.9,5.87,10.2,No,Fog,Medium,Snack,scooter,Metropolitian,Evening,Feb,0.0,2,16
21.0,4.7,3.15,10.2,No,Fog,High,Meal,motorcycle,Metropolitian,Morning,Feb,1.0,1,21
26.0,4.8,4.66,9.6,No,Fog,Jam,Meal,motorcycle,Metropolitian,Night,Mar,1.0,1,26
25.0,4.9,19.66,15.0,No,Sunny,Jam,Drinks,motorcycle,Metropolitian,Night,Mar,1.0,0,16
21.0,4.9,6.29,15.0,No,Sandstorms,High,Buffet,motorcycle,Metropolitian,Evening,Mar,0.0,0,16
28.0,4.7,6.05,9.6,No,Windy,Medium,Drinks,scooter,Metropolitian,Evening,Mar,1.0,2,23
32.0,4.7,6.08,15.0,No,Sunny,High,Meal,scooter,Metropolitian,Evening,Mar,0.0,2,16
35.0,4.1,7.57,9.6,No,Fog,Jam,Drinks,motorcycle,Metropolitian,Night,Mar,1.0,2,33
38.0,4.7,9.36,5.4,No,Cloudy,Medium,Buffet,motorcycle,Metropolitian,Evening,Feb,0.0,0,30
39.0,4.6,19.98,4.8,No,Sunny,Medium,Drinks,electric_scooter,Metropolitian,Evening,Mar,0.0,2,25
33.0,4.6,12.16,15.0,No,Sandstorms,Jam,Meal,motorcycle,Metropolitian,Night,Mar,1.0,1,27
20.0,4.7,3.15,4.8,No,Fog,Low,Snack,motorcycle,Metropolitian,Morning,Mar,0.0,0,23
21.0,4.5,4.47,5.4,No,Sandstorms,Medium,Buffet,motorcycle,Urban,Evening,Mar,1.0,0,16
20.0,4.7,4.67,10.2,No,Cloudy,Jam,Buffet,motorcycle,Metropolitian,Night,Mar,1.0,0,22
22.0,4.7,19.89,9.6,No,Sandstorms,Jam,Buffet,scooter,Urban,Night,Mar,1.0,1,15
28.0,4.9,13.62,15.0,No,Sandstorms,Medium,Drinks,motorcycle,Metropolitian,Night,Feb,1.0,0,26
37.0,4.8,12.42,5.4,No,Sunny,Medium,Buffet,motorcycle,Metropolitian,Night,Mar,0.0,0,27
23.0,4.5,13.62,15.0,No,Windy,Low,Drinks,scooter,Urban,Night,Feb,1.0,1,12
20.0,4.6,14.02,10.2,No,Fog,Low,Drinks,electric_scooter,Metropolitian,Night,Mar,1.0,2,23
36.0,5.0,8.99,4.8,No,Stormy,Jam,Snack,scooter,Metropolitian,Night,Feb,1.0,2,30
28.0,4.5,19.04,10.2,No,Fog,Low,Snack,motorcycle,Urban,Night,Feb,0.0,0,23
29.0,4.7,12.46,4.8,No,Sandstorms,Jam,Meal,scooter,Metropolitian,Night,Apr,0.0,2,24
29.0,4.8,4.6,9.6,No,Stormy,Jam,Meal,scooter,Urban,Night,Mar,1.0,2,29
35.0,4.9,19.84,15.0,No,Windy,Low,Snack,motorcycle,Metropolitian,Night,Feb,0.0,0,20
29.0,4.9,9.08,4.8,No,Cloudy,Low,Drinks,motorcycle,Metropolitian,Night,Feb,1.0,0,18
23.0,4.6,3.02,4.8,No,Sunny,High,Snack,motorcycle,Metropolitian,Morning,Feb,0.0,2,16
39.0,4.7,1.51,4.8,No,Windy,Low,Snack,motorcycle,Metropolitian,Morning,Mar,1.0,1,29
33.0,5.0,1.47,4.8,No,Stormy,High,Buffet,scooter,Metropolitian,Morning,Feb,0.0,2,32
20.0,4.9,6.12,5.4,No,Fog,Medium,Snack,motorcycle,Urban,Evening,Mar,0.0,0,22
32.0,4.6,1.54,15.0,No,Fog,Low,Buffet,motorcycle,Metropolitian,Morning,Mar,1.0,0,28
32.0,4.0,7.65,5.4,No,Stormy,Jam,Buffet,motorcycle,Metropolitian,Night,Mar,2.0,2,33
28.0,4.8,11.98,4.8,No,Cloudy,Jam,Meal,scooter,Metropolitian,Night,Feb,1.0,2,34
35.0,4.6,10.88,4.8,No,Sandstorms,Jam,Meal,motorcycle,Metropolitian,Night,Apr,1.0,0,53
39.0,4.6,9.22,9.6,No,Stormy,Jam,Drinks,motorcycle,Metropolitian,Night,Mar,1.0,1,29
34.0,4.6,9.22,15.0,No,Stormy,Medium,Buffet,motorcycle,Metropolitian,Evening,Apr,1.0,1,30
28.0,4.9,6.22,4.8,No,Stormy,Medium,Snack,electric_scooter,Metropolitian,Evening,Mar,1.0,2,27
32.0,3.7,12.58,5.4,No,Fog,Low,Meal,motorcycle,Metropolitian,Night,Mar,1.0,1,33
39.0,4.5,9.22,5.4,No,Cloudy,Low,Buffet,motorcycle,Metropolitian,Night,Mar,0.0,2,15
39.0,4.9,14.15,15.0,No,Sandstorms,Medium,Buffet,electric_scooter,Metropolitian,Evening,Mar,1.0,2,28
36.0,4.9,20.85,4.8,No,Sandstorms,Jam,Snack,electric_scooter,Metropolitian,Night,Mar,0.0,2,30
25.0,4.6,9.33,15.0,No,Fog,Medium,Meal,scooter,Urban,Evening,Mar,1.0,1,12
27.0,4.7,7.65,15.0,No,Cloudy,Medium,Drinks,motorcycle,Metropolitian,Night,Mar,1.0,0,27
38.0,4.9,4.47,9.6,No,Sandstorms,Jam,Meal,motorcycle,Metropolitian,Night,Mar,0.0,2,27
35.0,4.9,4.47,5.4,No,Fog,Medium,Meal,electric_scooter,Metropolitian,Night,Mar,0.0,2,18
25.0,4.7,19.36,9.6,No,Sandstorms,Low,Snack,motorcycle,Urban,Night,Apr,1.0,1,17
20.0,4.9,9.08,15.0,No,Sunny,Low,Meal,electric_scooter,Metropolitian,Night,Apr,0.0,2,19
39.0,4.9,16.63,4.8,No,Windy,Jam,Buffet,motorcycle,Metropolitian,Night,Mar,1.0,0,44
35.0,4.3,12.58,15.0,No,Windy,Medium,Drinks,electric_scooter,Metropolitian,Night,Mar,1.0,2,33
21.0,4.9,4.72,15.0,No,Fog,Low,Meal,motorcycle,Metropolitian,Night,Mar,1.0,0,19
36.0,4.8,13.77,15.0,No,Sandstorms,Medium,Buffet,motorcycle,Metropolitian,Evening,Mar,1.0,1,28
37.0,4.8,1.56,10.2,No,Cloudy,Low,Buffet,scooter,Metropolitian,Morning,Mar,1.0,1,18
20.0,4.7,10.56,10.2,No,Fog,Low,Drinks,motorcycle,Metropolitian,Night,Mar,1.0,0,21
20.0,4.4,13.97,4.8,No,Windy,Medium,Buffet,motorcycle,Metropolitian,Evening,Mar,0.0,0,36
20.0,4.5,11.72,5.4,No,Sandstorms,Jam,Buffet,scooter,Urban,Night,Feb,0.0,2,16
31.0,4.8,1.57,4.8,No,Sunny,Low,Buffet,motorcycle,Metropolitian,Morning,Apr,0.0,0,22
33.0,4.2,4.61,10.2,Yes,Windy,Jam,Snack,motorcycle,Metropolitian,Night,Mar,1.0,0,49
35.0,4.7,20.44,15.0,No,Sandstorms,Low,Buffet,motorcycle,Metropolitian,Night,Mar,1.0,0,24
37.0,4.9,12.16,10.2,No,Windy,Medium,Drinks,electric_scooter,Urban,Evening,Mar,1.0,2,23
26.0,4.9,16.85,10.2,No,Fog,Medium,Buffet,motorcycle,Urban,Night,Mar,1.0,0,42
22.0,4.9,10.87,15.0,No,Sandstorms,Jam,Snack,motorcycle,Metropolitian,Night,Apr,1.0,0,32
35.0,4.7,3.12,4.8,No,Fog,Low,Meal,motorcycle,Metropolitian,Morning,Mar,0.0,0,21
36.0,4.3,12.16,10.2,No,Cloudy,Jam,Drinks,electric_scooter,Metropolitian,Night,Mar,1.0,2,40
35.0,4.8,7.86,15.0,No,Windy,Medium,Snack,scooter,Metropolitian,Evening,Mar,0.0,1,26
37.0,4.8,3.1,4.8,No,Windy,High,Buffet,motorcycle,Urban,Morning,Mar,1.0,1,30
23.0,4.5,1.52,4.8,No,Sunny,Low,Meal,motorcycle,Metropolitian,Morning,Mar,1.0,0,14
34.0,4.1,13.77,4.8,No,Windy,Jam,Buffet,electric_scooter,Metropolitian,Night,Mar,1.0,2,31
27.0,4.8,10.87,4.8,No,Sandstorms,Medium,Buffet,motorcycle,Urban,Night,Mar,0.0,1,27
22.0,4.7,9.19,15.0,No,Windy,Jam,Meal,motorcycle,Metropolitian,Night,Mar,1.0,1,26
21.0,4.8,1.54,15.0,No,Fog,Low,Snack,scooter,Urban,Morning,Mar,0.0,1,13
35.0,4.6,12.16,15.0,No,Stormy,Medium,Meal,scooter,Metropolitian,Night,Mar,1.0,1,30
20.0,5.0,10.87,4.8,No,Windy,Jam,Snack,scooter,Metropolitian,Night,Mar,0.0,1,24
32.0,4.6,6.08,4.8,No,Sandstorms,High,Buffet,electric_scooter,Metropolitian,Evening,Apr,1.0,2,31
30.0,4.8,17.1,5.4,No,Stormy,Medium,Drinks,electric_scooter,Urban,Night,Mar,0.0,2,22
27.0,4.7,6.22,4.8,No,Cloudy,High,Snack,motorcycle,Metropolitian,Evening,Mar,1.0,1,25
35.0,4.6,3.03,15.0,No,Stormy,High,Buffet,motorcycle,Urban,Morning,Mar,2.0,0,39
35.0,4.5,19.66,10.2,No,Windy,Low,Snack,motorcycle,Metropolitian,Night,Mar,1.0,0,24
39.0,4.6,4.66,10.2,No,Cloudy,Low,Drinks,motorcycle,Urban,Night,Mar,1.0,0,26
28.0,4.5,12.58,9.6,No,Windy,Jam,Buffet,scooter,Metropolitian,Night,Mar,1.0,1,20
31.0,4.0,19.66,5.4,No,Fog,Jam,Snack,scooter,Metropolitian,Night,Mar,1.0,1,38
37.0,4.6,12.42,4.8,No,Windy,Low,Buffet,scooter,Metropolitian,Night,Mar,1.0,2,28
24.0,4.7,6.21,10.2,No,Sandstorms,High,Snack,scooter,Metropolitian,Evening,Mar,1.0,2,26
31.0,4.6,11.01,15.0,No,Cloudy,Jam,Snack,motorcycle,Metropolitian,Night,Mar,1.0,0,40
24.0,4.4,10.87,4.8,No,Fog,Jam,Meal,scooter,Metropolitian,Night,Mar,1.0,1,41
27.0,4.7,11.92,4.8,No,Windy,Jam,Meal,scooter,Urban,Night,Mar,1.0,2,16
21.0,4.6,4.56,9.6,No,Cloudy,Medium,Drinks,scooter,Urban,Night,Apr,1.0,2,19
23.0,4.7,1.54,9.6,No,Windy,Low,Buffet,scooter,Metropolitian,Morning,Mar,1.0,2,17
21.0,4.9,11.92,4.8,No,Cloudy,Low,Buffet,motorcycle,Urban,Night,Apr,1.0,0,20
25.0,4.9,4.66,4.8,No,Sandstorms,Jam,Snack,motorcycle,Metropolitian,Night,Mar,1.0,0,31
31.0,4.6,12.42,15.0,No,Sandstorms,Low,Meal,scooter,Urban,Night,Mar,1.0,2,24
36.0,4.1,3.15,15.0,No,Windy,High,Meal,motorcycle,Metropolitian,Morning,Apr,1.0,0,32
28.0,4.9,10.81,4.8,No,Stormy,Jam,Buffet,motorcycle,Metropolitian,Night,Feb,0.0,0,36
23.0,4.7,1.56,10.2,No,Cloudy,Low,Snack,motorcycle,Metropolitian,Morning,Feb,1.0,0,15
29.0,4.6,4.67,5.4,No,Sandstorms,Medium,Drinks,motorcycle,Metropolitian,Evening,Apr,1.0,0,26
39.0,4.9,20.21,10.2,No,Sunny,Medium,Drinks,motorcycle,Metropolitian,Evening,Mar,1.0,1,26
38.0,4.6,3.06,4.8,No,Cloudy,High,Buffet,motorcycle,Metropolitian,Morning,Mar,0.0,0,26
34.0,4.8,4.66,4.8,No,Cloudy,Jam,Meal,scooter,Metropolitian,Night,Mar,1.0,2,35
38.0,4.5,13.97,15.0,No,Sunny,Jam,Buffet,motorcycle,Urban,Night,Mar,1.0,1,17
22.0,4.8,10.56,4.8,No,Stormy,Jam,Drinks,scooter,Metropolitian,Night,Mar,1.0,1,28
31.0,4.6,10.7,9.6,No,Cloudy,Low,Buffet,electric_scooter,Urban,Night,Apr,1.0,2,25
29.0,4.5,6.04,10.2,No,Cloudy,High,Snack,scooter,Metropolitian,Evening,Mar,0.0,2,23
28.0,4.7,6.21,10.2,No,Sandstorms,High,Buffet,motorcycle,Metropolitian,Evening,Mar,1.0,0,20
25.0,4.7,3.04,4.8,No,Fog,Low,Drinks,motorcycle,Urban,Morning,Mar,0.0,1,13
33.0,4.7,4.54,15.0,No,Sunny,Jam,Buffet,motorcycle,Urban,Night,Feb,1.0,0,21
39.0,4.6,16.15,15.0,No,Sandstorms,Low,Drinks,scooter,Metropolitian,Night,Feb,0.0,1,18
39.0,4.9,1.52,4.8,No,Sunny,Low,Drinks,motorcycle,Metropolitian,Morning,Mar,0.0,0,24
39.0,4.9,1.57,9.6,No,Windy,Low,Meal,scooter,Metropolitian,Morning,Feb,1.0,1,28
26.0,4.7,3.11,4.8,No,Cloudy,High,Meal,motorcycle,Metropolitian,Morning,Mar,1.0,0,20
29.0,4.7,16.9,15.0,No,Cloudy,Medium,Meal,scooter,Urban,Evening,Mar,1.0,1,29
39.0,4.7,9.19,15.0,No,Sandstorms,Jam,Snack,motorcycle,Urban,Night,Mar,0.0,0,30
36.0,5.0,12.12,15.0,No,Fog,Medium,Meal,scooter,Metropolitian,Night,Mar,1.0,2,30
23.0,4.2,4.66,4.8,No,Windy,Low,Drinks,motorcycle,Urban,Night,Mar,1.0,0,17
32.0,4.4,7.79,15.0,No,Windy,Medium,Buffet,motorcycle,Metropolitian,Evening,Mar,1.0,1,34
22.0,5.0,12.16,9.6,No,Windy,Low,Snack,motorcycle,Metropolitian,Night,Mar,1.0,0,16
35.0,4.9,7.56,4.8,No,Fog,Low,Snack,scooter,Metropolitian,Night,Mar,0.0,1,18
30.0,4.5,12.35,10.2,No,Sunny,Medium,Meal,motorcycle,Metropolitian,Evening,Feb,0.0,1,16
33.0,4.9,6.15,5.4,No,Sandstorms,Medium,Buffet,scooter,Metropolitian,Evening,Mar,1.0,1,28
30.0,4.8,9.22,15.0,No,Sunny,Medium,Meal,motorcycle,Metropolitian,Evening,Mar,1.0,0,25
26.0,4.7,8.94,10.2,No,Windy,Low,Snack,motorcycle,Metropolitian,Night,Mar,0.0,2,14
21.0,4.9,6.08,4.8,No,Windy,Medium,Drinks,motorcycle,Metropolitian,Evening,Mar,1.0,2,20
34.0,4.5,12.48,15.0,No,Fog,Jam,Snack,motorcycle,Metropolitian,Night,Feb,2.0,0,43
33.0,4.3,13.61,15.0,No,Windy,Jam,Meal,motorcycle,Metropolitian,Night,Apr,1.0,0,47
23.0,4.7,3.03,5.4,No,Sunny,Low,Drinks,motorcycle,Metropolitian,Morning,Apr,1.0,0,12
