,Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),Delivery_distance,Time_to_pick,Day,Month,Time_of_Day_Ordered
56,21.0,4.8,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,ALH,14,3.0,10.2,15,2,Morning
58,23.0,4.8,Stormy,Low,1,Meal,scooter,1.0,No,VAD,15,3.15,9.6,3,7,Morning
59,35.0,4.8,Fog,Medium,2,Buffet,scooter,1.0,No,VAD,16,6.29,9.6,28,3,Evening
60,39.0,4.6,Cloudy,Jam,1,Snack,scooter,1.0,No,CHEN,36,13.97,4.8,16,3,Night
61,22.0,4.7,Sunny,High,1,Buffet,scooter,1.0,No,SUR,18,6.08,4.8,17,3,Evening
62,32.0,4.6,Fog,Medium,1,Meal,scooter,0.0,No,SUR,17,6.08,15.0,15,3,Evening
63,24.0,4.8,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,VAD,15,12.58,4.8,25,3,Night
64,29.0,4.7,Fog,Low,0,Buffet,motorcycle,1.0,No,MYS,17,3.15,10.2,3,9,Morning
66,26.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,No,HYD,10,9.22,15.0,3,5,Night
67,20.0,4.5,Fog,Jam,1,Drinks,motorcycle,1.0,No,BHP,27,7.86,15.0,2,11,Night
68,35.0,4.1,Sandstorms,Jam,1,Buffet,motorcycle,2.0,No,CHEN,37,13.97,15.0,3,12,Night
70,34.0,4.7,Windy,High,2,Drinks,electric_scooter,1.0,No,VAD,28,6.06,10.2,19,3,Evening
72,30.0,4.8,Windy,Low,1,Snack,motorcycle,1.0,No,DEH,25,17.3,15.0,16,2,Night
73,25.0,4.4,Cloudy,Medium,2,Snack,scooter,1.0,No,CHEN,39,17.07,4.8,27,3,Night
74,25.0,4.7,Stormy,Medium,0,Meal,motorcycle,0.0,No,MUM,20,16.82,5.4,27,3,Night
75,30.0,5.0,Stormy,High,1,Buffet,motorcycle,1.0,No,JAP,31,2.98,4.8,24,3,Morning
76,24.0,4.6,Stormy,Jam,1,Buffet,motorcycle,0.0,No,HYD,13,9.22,10.2,3,9,Night
78,25.0,4.8,Windy,High,1,Snack,scooter,1.0,No,GOA,19,6.18,4.8,15,2,Evening
79,37.0,4.6,Fog,Low,0,Buffet,motorcycle,2.0,Yes,AURG,42,12.21,15.0,18,2,Night
80,24.0,5.0,Fog,Low,0,Drinks,motorcycle,1.0,No,BANG,23,1.55,5.4,3,1,Morning
81,25.0,4.2,Stormy,Jam,0,Meal,motorcycle,1.0,No,HYD,39,16.9,15.0,23,3,Night
82,32.0,4.6,Stormy,Low,2,Drinks,motorcycle,1.0,No,RANCHI,25,1.51,9.6,4,1,Morning
84,38.0,4.9,Cloudy,Low,2,Drinks,scooter,1.0,No,INDO,15,3.03,15.0,3,11,Morning
85,36.0,4.8,Sunny,Medium,2,Buffet,electric_scooter,0.0,No,JAP,15,13.41,5.4,14,3,Evening
87,29.0,5.0,Sunny,Low,0,Drinks,motorcycle,0.0,No,MYS,18,7.77,5.4,4,1,Night
88,36.0,4.7,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,MUM,29,13.77,9.6,4,4,Night
89,33.0,4.7,Fog,Low,0,Snack,motorcycle,0.0,No,COIMB,20,7.79,4.8,3,11,Night
90,36.0,4.4,Cloudy,High,2,Meal,scooter,1.0,No,MYS,39,6.22,15.0,13,3,Evening
91,21.0,4.8,Windy,Low,0,Snack,motorcycle,0.0,No,PUNE,19,16.85,15.0,3,4,Night
92,25.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,HYD,19,4.61,15.0,26,3,Night
94,25.0,4.6,Stormy,Low,2,Snack,motorcycle,1.0,No,COIMB,15,1.56,15.0,3,1,Morning
96,27.0,4.6,Sandstorms,Jam,0,Buffet,motorcycle,1.0,No,BANG,29,13.97,15.0,3,4,Night
97,23.0,4.8,Cloudy,Low,2,Snack,scooter,1.0,No,MUM,22,16.83,5.4,18,3,Night
98,21.0,4.3,Fog,Jam,1,Drinks,scooter,0.0,No,MYS,42,20.21,9.6,23,3,Night
99,27.0,4.7,Sandstorms,Low,2,Snack,scooter,0.0,No,SUR,12,3.04,15.0,15,3,Morning
100,32.0,4.2,Cloudy,Jam,1,Snack,motorcycle,1.0,No,COIMB,38,20.25,10.2,3,8,Night
101,25.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,SUR,23,16.72,15.0,3,10,Night
102,39.0,4.7,Cloudy,Low,1,Meal,scooter,0.0,No,KNP,15,2.98,15.0,2,11,Morning
103,27.0,4.6,Sunny,Low,0,Snack,motorcycle,1.0,No,SUR,24,12.16,4.8,14,3,Night
105,31.0,4.8,Sandstorms,Low,1,Snack,scooter,0.0,No,BANG,24,7.76,10.2,3,1,Night
106,31.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,RANCHI,13,9.06,4.8,3,1,Night
108,36.0,4.9,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,RANCHI,42,12.07,9.6,3,2,Night
109,20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,RANCHI,17,13.58,9.6,20,3,Night
110,24.0,4.6,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,JAP,25,4.47,15.0,4,3,Night
112,39.0,4.2,Fog,Medium,1,Snack,scooter,0.0,No,INDO,39,16.63,4.8,29,3,Night
113,37.0,4.8,Sunny,High,2,Meal,scooter,0.0,No,COIMB,18,6.23,9.6,17,3,Evening
115,22.0,4.5,Sandstorms,Low,1,Drinks,scooter,1.0,No,KNP,18,7.46,15.0,15,2,Night
117,33.0,4.7,Fog,Jam,1,Snack,scooter,1.0,No,RANCHI,49,16.6,9.6,3,8,Night
119,27.0,4.6,Sunny,Low,0,Drinks,motorcycle,1.0,No,BANG,21,12.42,4.8,31,3,Night
120,34.0,4.7,Sunny,High,2,Snack,scooter,0.0,No,MUM,23,6.12,15.0,3,1,Evening
121,26.0,5.0,Fog,Low,2,Meal,scooter,1.0,No,SUR,11,1.52,10.2,4,3,Morning
122,31.0,4.6,Cloudy,Jam,0,Snack,motorcycle,0.0,No,VAD,25,9.09,15.0,24,3,Night
123,32.0,4.9,Fog,Low,2,Snack,motorcycle,0.0,No,PUNE,18,3.06,5.4,3,7,Morning
127,24.0,4.9,Fog,Medium,1,Meal,scooter,1.0,No,VAD,17,6.29,15.0,30,3,Evening
128,33.0,4.4,Sandstorms,Low,0,Snack,motorcycle,1.0,No,HYD,28,1.54,10.2,3,5,Morning
129,20.0,4.6,Fog,Jam,0,Buffet,motorcycle,0.0,Yes,BANG,44,13.97,15.0,18,3,Night
130,31.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,COIMB,20,9.35,15.0,13,3,Night
132,36.0,5.0,Fog,Jam,1,Snack,motorcycle,1.0,No,VAD,35,10.6,9.6,31,3,Night
133,31.0,4.2,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,CHEN,50,17.08,10.2,23,3,Night
134,39.0,4.1,Stormy,Jam,1,Meal,scooter,1.0,No,HYD,34,9.22,4.8,24,3,Night
137,37.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,COIMB,27,4.67,9.6,3,9,Night
138,33.0,4.7,Cloudy,High,0,Snack,motorcycle,0.0,No,VAD,26,6.29,10.2,17,3,Evening
139,31.0,3.9,Cloudy,Low,1,Buffet,scooter,1.0,No,MUM,35,10.71,9.6,18,3,Night
140,37.0,4.6,Windy,High,0,Drinks,motorcycle,1.0,No,VAD,41,6.29,5.4,19,3,Evening
143,23.0,4.8,Windy,Low,1,Buffet,scooter,1.0,No,RANCHI,19,3.15,9.6,4,3,Morning
144,36.0,4.9,Windy,Low,1,Buffet,scooter,1.0,No,VAD,27,1.57,15.0,3,11,Morning
145,39.0,4.8,Cloudy,High,0,Snack,motorcycle,1.0,No,MYS,28,6.22,15.0,4,1,Evening
146,20.0,4.7,Sandstorms,Medium,0,Drinks,motorcycle,1.0,No,COIMB,24,12.46,9.6,20,3,Evening
147,20.0,5.0,Cloudy,Jam,0,Meal,motorcycle,1.0,No,MYS,36,20.21,15.0,31,3,Night
148,29.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,KOL,28,9.08,5.4,13,2,Night
149,36.0,4.8,Fog,Medium,2,Drinks,motorcycle,1.0,No,COIMB,31,17.14,4.8,29,3,Night
150,36.0,4.0,Sunny,Jam,0,Meal,motorcycle,3.0,No,VAD,44,13.63,4.8,16,3,Night
151,22.0,4.8,Windy,Low,1,Drinks,scooter,1.0,No,RANCHI,15,12.07,15.0,14,3,Night
152,38.0,4.4,Windy,Medium,0,Buffet,motorcycle,1.0,No,PUNE,33,10.72,5.4,31,3,Evening
153,39.0,4.9,Fog,Jam,0,Buffet,motorcycle,0.0,No,SUR,30,7.6,15.0,17,3,Night
154,24.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,INDO,22,7.56,10.2,28,3,Night
156,35.0,4.8,Fog,Medium,0,Meal,motorcycle,3.0,No,HYD,48,13.83,9.6,3,4,Evening
158,39.0,4.7,Windy,Medium,1,Snack,motorcycle,1.0,No,KOC,21,10.92,4.8,14,2,Night
159,31.0,4.3,Windy,Jam,1,Drinks,motorcycle,0.0,No,VAD,44,12.12,10.2,25,3,Night
160,37.0,4.5,Windy,Low,2,Drinks,scooter,0.0,No,CHEN,26,1.55,15.0,17,3,Morning
161,37.0,4.7,Windy,Low,1,Buffet,scooter,1.0,No,MYS,26,4.66,5.4,4,1,Night
162,33.0,5.0,Windy,High,1,Meal,motorcycle,1.0,No,MUM,31,1.53,4.8,19,3,Morning
163,24.0,4.6,Stormy,Low,2,Meal,scooter,1.0,No,RANCHI,19,9.44,15.0,3,7,Night
164,33.0,4.5,Sunny,Jam,1,Snack,scooter,0.0,No,JAP,18,11.92,4.8,3,2,Night
166,37.0,4.6,Cloudy,Medium,1,Snack,motorcycle,1.0,No,RANCHI,32,13.58,10.2,29,3,Night
167,25.0,4.9,Sandstorms,Low,2,Meal,scooter,1.0,No,HYD,17,7.68,4.8,3,7,Night
169,38.0,4.7,Windy,High,2,Buffet,motorcycle,1.0,No,MYS,31,6.22,9.6,30,3,Evening
171,31.0,4.6,Windy,Medium,0,Meal,motorcycle,0.0,No,MYS,25,9.33,9.6,19,3,Evening
172,25.0,4.8,Cloudy,Jam,2,Snack,motorcycle,1.0,No,MUM,22,9.18,15.0,15,3,Night
173,35.0,4.9,Fog,Jam,0,Drinks,motorcycle,3.0,No,MYS,43,10.88,4.8,3,2,Night
174,39.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,RANCHI,42,10.57,10.2,31,3,Night
175,38.0,3.9,Stormy,Jam,1,Meal,motorcycle,0.0,No,INDO,42,12.1,9.6,3,6,Night
176,35.0,4.7,Fog,Jam,1,Drinks,motorcycle,1.0,No,CHEN,34,4.66,10.2,21,3,Night
177,29.0,4.7,Sandstorms,Low,1,Snack,motorcycle,1.0,No,JAP,17,2.98,15.0,3,1,Morning
178,27.0,4.6,Stormy,Jam,1,Snack,scooter,0.0,No,SUR,25,4.56,5.4,24,3,Night
179,38.0,4.3,Sandstorms,Jam,0,Meal,motorcycle,1.0,Yes,MYS,54,13.99,10.2,4,4,Night
182,26.0,4.1,Fog,Jam,2,Meal,motorcycle,1.0,No,KNP,36,13.43,4.8,2,12,Night
183,36.0,4.9,Sunny,Medium,1,Drinks,motorcycle,0.0,No,MYS,17,9.33,10.2,4,5,Evening
186,20.0,4.5,Fog,High,2,Meal,motorcycle,1.0,No,MYS,26,6.22,5.4,17,3,Evening
187,23.0,4.6,Fog,Jam,0,Snack,motorcycle,2.0,Yes,PUNE,46,13.79,15.0,31,3,Night
188,37.0,5.0,Sunny,Jam,0,Buffet,motorcycle,0.0,No,KOL,29,9.08,9.6,17,2,Night
189,26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,BANG,23,9.32,5.4,3,9,Night
191,26.0,4.9,Stormy,Medium,1,Snack,motorcycle,0.0,No,INDO,28,16.64,15.0,25,3,Evening
192,29.0,4.8,Cloudy,Jam,0,Meal,motorcycle,1.0,No,PUNE,25,9.19,5.4,3,11,Night
193,29.0,4.7,Sandstorms,Low,2,Snack,motorcycle,0.0,No,RANCHI,11,3.02,15.0,3,3,Morning
194,21.0,4.9,Windy,Medium,1,Meal,scooter,1.0,No,LUDH,26,4.4,9.6,15,2,Night
195,22.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,MYS,23,3.11,15.0,3,7,Morning
196,31.0,4.0,Fog,Medium,1,Snack,motorcycle,2.0,No,JAP,39,11.92,15.0,18,3,Evening
199,36.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,BANG,43,10.87,15.0,3,6,Evening
201,32.0,4.7,Windy,Low,2,Buffet,electric_scooter,0.0,No,MYS,25,1.55,9.6,21,3,Morning
202,25.0,5.0,Windy,Medium,1,Drinks,motorcycle,0.0,No,CHEN,27,9.31,5.4,19,3,Night
203,27.0,4.5,Windy,Medium,2,Drinks,scooter,1.0,No,HYD,29,6.15,15.0,28,3,Evening
204,32.0,4.1,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,BANG,33,10.87,15.0,29,3,Night
206,39.0,4.4,Sunny,Medium,0,Meal,motorcycle,1.0,No,BANG,33,20.18,4.8,29,3,Night
207,20.0,4.8,Fog,Jam,1,Snack,motorcycle,1.0,No,VAD,28,9.44,4.8,21,3,Night
209,29.0,4.6,Stormy,Jam,1,Meal,scooter,1.0,No,ALH,29,4.49,15.0,15,2,Night
213,31.0,4.9,Sunny,High,0,Snack,motorcycle,0.0,No,GOA,28,6.18,15.0,13,2,Evening
214,24.0,4.7,Fog,Jam,0,Snack,motorcycle,1.0,No,RANCHI,39,20.44,5.4,16,3,Night
216,36.0,4.8,Sandstorms,Medium,0,Buffet,motorcycle,1.0,No,JAP,36,19.37,4.8,20,3,Night
221,33.0,4.7,Fog,Medium,2,Buffet,electric_scooter,1.0,No,BANG,15,7.76,15.0,3,9,Night
223,34.0,4.0,Windy,Jam,0,Snack,motorcycle,2.0,No,MUM,39,13.77,4.8,3,12,Night
224,36.0,4.6,Windy,Low,0,Buffet,motorcycle,1.0,No,HYD,20,12.29,9.6,4,4,Night
228,27.0,4.9,Fog,Low,2,Drinks,scooter,0.0,No,BANG,20,12.42,15.0,3,2,Night
230,26.0,4.8,Cloudy,Jam,0,Snack,motorcycle,1.0,No,BANG,43,12.42,10.2,27,3,Night
231,29.0,4.5,Windy,Low,0,Drinks,motorcycle,0.0,No,INDO,15,19.66,9.6,3,4,Night
232,31.0,4.5,Sunny,Jam,0,Buffet,motorcycle,0.0,No,COIMB,29,12.46,15.0,4,6,Night
233,28.0,4.6,Stormy,High,2,Drinks,motorcycle,0.0,No,HYD,14,6.15,15.0,26,3,Evening
236,30.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,RANCHI,29,12.58,10.2,18,3,Night
237,29.0,4.7,Cloudy,Medium,2,Buffet,motorcycle,1.0,No,ALH,11,5.99,4.8,2,11,Evening
238,20.0,4.8,Sunny,High,1,Snack,motorcycle,0.0,No,MUM,14,1.53,10.2,28,3,Morning
239,28.0,5.0,Windy,Low,0,Snack,motorcycle,0.0,No,AURG,15,13.74,10.2,16,2,Night
240,25.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,MUM,16,10.71,10.2,16,3,Night
242,38.0,4.8,Stormy,Low,1,Buffet,motorcycle,1.0,No,CHEN,20,3.1,4.8,28,3,Morning
243,39.0,4.9,Stormy,Low,1,Drinks,motorcycle,1.0,No,HYD,26,4.61,10.2,3,3,Night
244,26.0,4.9,Windy,Medium,1,Snack,scooter,0.0,No,SUR,26,9.12,4.8,13,3,Evening
245,33.0,4.4,Windy,Jam,1,Meal,motorcycle,0.0,No,COIMB,43,10.91,15.0,14,3,Night
246,24.0,4.6,Sandstorms,Medium,0,Snack,motorcycle,1.0,No,VAD,25,9.09,9.6,3,1,Night
247,24.0,4.9,Fog,Medium,0,Buffet,motorcycle,1.0,No,COIMB,28,6.23,9.6,21,3,Evening
248,33.0,4.5,Stormy,Low,2,Buffet,scooter,0.0,No,INDO,17,13.61,15.0,3,10,Night
249,35.0,4.2,Windy,Jam,1,Drinks,motorcycle,1.0,No,INDO,44,13.61,10.2,20,3,Night
250,27.0,4.2,Stormy,Jam,0,Buffet,motorcycle,1.0,No,MUM,33,13.76,4.8,4,6,Night
252,29.0,4.5,Sunny,Medium,0,Snack,motorcycle,0.0,No,BANG,15,4.66,4.8,4,3,Night
253,34.0,4.7,Fog,Low,1,Buffet,scooter,1.0,No,AGR,27,19.34,9.6,2,12,Night
254,20.0,4.7,Cloudy,High,2,Meal,scooter,1.0,No,KNP,25,2.98,15.0,2,11,Morning
255,29.0,4.8,Sunny,High,1,Drinks,motorcycle,1.0,No,VAD,18,6.06,5.4,4,5,Evening
256,22.0,4.9,Stormy,Medium,2,Snack,scooter,0.0,No,VAD,21,9.09,4.8,4,5,Night
257,35.0,4.9,Cloudy,Jam,0,Buffet,motorcycle,2.0,No,AGR,53,10.42,15.0,18,2,Night
258,32.0,4.4,Sandstorms,Jam,0,Drinks,motorcycle,3.0,No,KOC,42,17.16,10.2,2,12,Night
259,28.0,4.9,Sunny,Jam,2,Snack,motorcycle,1.0,No,LUDH,20,16.11,15.0,14,2,Night
260,30.0,4.7,Fog,Low,1,Meal,scooter,0.0,No,COIMB,29,20.25,10.2,3,2,Night
261,22.0,4.7,Stormy,Jam,2,Snack,scooter,0.0,No,CHEN,15,17.08,9.6,4,4,Night
262,36.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,COIMB,30,7.79,15.0,3,9,Night
263,23.0,4.8,Windy,Jam,0,Snack,motorcycle,1.0,No,SUR,28,19.76,4.8,3,12,Night
265,29.0,4.5,Sandstorms,Low,2,Meal,motorcycle,1.0,No,AURG,15,19.84,10.2,18,2,Night
266,34.0,4.9,Sandstorms,Jam,0,Buffet,motorcycle,3.0,Yes,CHEN,50,17.08,15.0,23,3,Night
267,38.0,4.1,Stormy,High,0,Buffet,motorcycle,1.0,Yes,BANG,41,1.55,5.4,3,5,Morning
268,35.0,5.0,Fog,Medium,0,Snack,motorcycle,1.0,No,VAD,37,11.01,9.6,27,3,Evening
269,38.0,4.7,Cloudy,Jam,2,Drinks,scooter,1.0,No,VAD,28,9.44,15.0,19,3,Night
270,32.0,4.3,Cloudy,Medium,1,Meal,scooter,2.0,No,DEH,35,10.28,15.0,16,2,Night
271,20.0,4.5,Windy,Jam,2,Buffet,motorcycle,1.0,No,BANG,27,10.87,9.6,3,2,Night
272,25.0,4.9,Fog,Jam,0,Buffet,motorcycle,2.0,No,CHEN,43,12.42,4.8,3,2,Night
275,39.0,4.1,Cloudy,Jam,1,Drinks,motorcycle,2.0,No,DEH,39,20.44,5.4,14,2,Night
276,31.0,4.4,Stormy,Jam,0,Buffet,motorcycle,1.0,No,VAD,47,16.66,4.8,20,3,Night
277,37.0,4.5,Fog,Low,0,Buffet,motorcycle,1.0,No,SUR,26,7.6,4.8,3,11,Night
278,36.0,4.9,Cloudy,Medium,2,Snack,electric_scooter,1.0,No,LUDH,31,13.18,15.0,18,2,Evening
284,35.0,4.9,Fog,Medium,2,Meal,electric_scooter,0.0,No,JAP,18,4.47,5.4,26,3,Night
285,22.0,4.8,Sandstorms,Jam,1,Snack,scooter,1.0,No,JAP,22,13.41,15.0,29,3,Night
286,28.0,4.8,Fog,Low,0,Buffet,motorcycle,1.0,No,HYD,23,3.07,15.0,3,1,Morning
287,39.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,MYS,48,20.21,10.2,18,3,Evening
288,29.0,4.5,Windy,Low,1,Snack,scooter,0.0,No,BANG,13,12.42,15.0,31,3,Night
289,39.0,4.6,Sandstorms,High,2,Drinks,motorcycle,1.0,No,CHEN,32,3.1,10.2,30,3,Morning
290,25.0,4.9,Sandstorms,Jam,2,Snack,electric_scooter,0.0,No,MYS,16,20.21,4.8,3,6,Night
291,34.0,5.0,Cloudy,Medium,2,Snack,electric_scooter,0.0,No,COIMB,19,4.67,4.8,3,5,Evening
292,22.0,4.8,Sunny,Low,1,Drinks,motorcycle,1.0,No,BANG,18,3.11,4.8,26,3,Morning
293,27.0,5.0,Windy,Jam,0,Buffet,motorcycle,1.0,No,KNP,27,10.44,9.6,16,2,Night
294,28.0,4.5,Sunny,Medium,0,Drinks,motorcycle,1.0,No,MUM,25,10.71,9.6,3,12,Evening
295,32.0,5.0,Stormy,Medium,2,Drinks,scooter,1.0,No,COIMB,31,4.67,15.0,3,1,Night
298,35.0,3.9,Windy,Jam,1,Snack,motorcycle,2.0,No,MUM,38,12.24,15.0,29,3,Night
300,35.0,4.7,Sunny,Jam,2,Drinks,electric_scooter,1.0,No,AURG,17,4.72,10.2,17,2,Night
301,30.0,4.6,Cloudy,Low,0,Buffet,motorcycle,0.0,No,VAD,24,1.51,15.0,13,3,Morning
302,39.0,4.8,Fog,High,2,Drinks,scooter,1.0,No,MYS,26,3.11,5.4,13,3,Morning
304,20.0,4.7,Sandstorms,Medium,2,Snack,scooter,1.0,No,PUNE,16,12.26,4.8,23,3,Evening
305,20.0,4.7,Fog,Medium,2,Buffet,motorcycle,0.0,No,VAD,17,4.72,9.6,3,1,Night
306,34.0,4.2,Windy,Low,0,Snack,motorcycle,0.0,No,MYS,24,9.33,4.8,13,3,Night
308,37.0,4.3,Stormy,High,2,Meal,scooter,1.0,No,JAP,34,2.98,9.6,15,3,Morning
309,20.0,4.8,Cloudy,Low,1,Snack,motorcycle,1.0,No,MUM,16,1.53,15.0,3,9,Morning
310,33.0,4.9,Windy,Low,1,Drinks,motorcycle,1.0,No,SUR,26,7.6,9.6,4,5,Night
311,21.0,5.0,Fog,Medium,1,Drinks,motorcycle,1.0,No,INDO,25,19.66,4.8,4,2,Evening
312,33.0,4.6,Fog,Medium,0,Meal,motorcycle,2.0,No,VAD,49,10.6,15.0,3,10,Evening
